44.19,45.25,45.46,44.17,45.47,46.48,47.82,42.98,43.32,45.6,46.44,15.72,-1.69
44.71,45.65,45.75,44.74,45.86,46.7,47.92,43.63,43.98,46,46.86,15.95,-1.5
44.2,45.25,45.37,44.12,45.42,46.5,47.41,43.08,43.39,45.89,46.54,16.22,-1.87
42.33,43.98,45.09,43.23,44.72,46.23,47.3,42.48,42.81,45.49,46.41,16.45,-1.08
45.66,47.08,47.5,45.9,47.3,48.54,49.55,44.82,45.2,47.43,48.68,18.14,-1.01
45.9,47.08,47.31,46.03,47.18,48.23,49.02,45.14,45.42,47.7,48.23,17.88,-1.19
45.85,46.53,46.06,46.09,46.82,47.2,47.63,45.36,45.2,46.54,47,14.76,-5.65
47.88,49.16,48.9,48.09,49.12,49.98,50.84,46.76,47.21,49.1,49.81,19.02,0.68
47.7,48.75,48.13,47.82,48.96,49.44,50.05,46.6,46.98,48.73,49.05,17.38,-2.13
47.95,49.52,49.65,47.92,49.45,50.7,51.58,46.92,47.38,49.62,50.69,19.8,0.9
48.4,49.32,48.42,48.5,49.49,49.6,50.12,47.75,47.76,49.29,49.68,18.14,-0.63
48.39,49.64,49.55,48.43,49.88,50.45,51.05,47.35,47.75,49.86,50.05,19.93,1.13
49.52,50.32,48.34,49.69,50.43,49.84,49.42,48.91,48.58,49.36,49.25,15.48,-3.48
